id	abstract	label
63316	<TITLE>Carcinoid of the uterine cervix: additional observations on a new tumor entity.</TITLE>Twelve carcinoid tumors of the uterine cervix were studied. Based on the microscopic structure, they were divided into well-differentiated and poorly differentiated types. Both tumor varieties affected adult women. The clinical and gross features of these tumors were indistinguishable from those of invasive squamous cell carcinoma. Of the 12 patients, six died, four with poorly differentiated carcinoid and two with the well-differentiated type. Three patients are alive and symptom-free 9 months to 2 years after treatment; the remaining three were lost to follow-up. Microscopically, four well-differentiated carcinoids showed argyrophil cells, and ultrastructurally two had neurosecretory granules. One of the well-differentiated carcinoids resembled islet cell carcinoma and two had areas resembling medullary carcinoma of the thyroid. The poorly differentiated type of carcinoid had a histologic structure and a cell population very similar to that of the oat cell carcinoma of the lung. Of this group, four were argyrophilic, and by electron microscopy four contained pleomorphic secretory granules. It is considered that these tumors arise from the normal argyrophil cell of the cervix and are part of the group of neoplasms of the diffuse endocrine cell system (APUD).	No specific gene was perturbed in vivo
67139	<TITLE>Experimental infection with Ancylostoma caninum larvae in mice. IV. Serum protein pattern during primary infection.</TITLE>Serum protein of Swiss albino mice infected with Ancylostoma caninum larvae, were analysed electrophoretically. Twenty mice were infected with a dose of 1000 larvae and the alterations in serum protein during an infection period of 30 days were recorded and compared with uninfected controls. The result showed a significant decrease in albumin and gamma globulin with an increase in beta globulin. There were no significant changes in the alpha-1 and alpha-2 globulins. The total globulins increased and A/G ratio decreased. These changes appeared to be remarkable on the 9th day after infection.	No specific gene was perturbed in vivo
132671	<TITLE>Copulation in noncopulators: effect of PCPA in male rats.</TITLE>Twenty eight virgin male rats who failed to mount spontaneously on four successive mating tests were randomly assigned to two equal groups. One group received four daily injections of PCPA (100 mg/kg-IP), and the other, four vehicle injections. About 24 hr after the last injection all rats were subjected to a mating test. Eight rats of the PCPA group and only two of the vehicle, started to copulate. The difference is significant at the 0.05 level (two-tail). The 18 rats that did not start to copulate, failed to do so also on a repeated test a week later, and were then given four additional daily injections of PCPA. Sixteen of them started to copulate on the following mating test. Most of the rats copulated successfully on additional mating tests that took place three to eight weeks later, in the absence of further PCPA treatment.	No specific gene was perturbed in vivo
372447	<TITLE>The effects of organic solvents and temperature on the desorption of yeast 3-phosphoglycerate kinase from immunoadsorbent.</TITLE>Physicochemical parameters governing the elution of yeast 3-phosphoglycerate kinase from its immunoadsorbent were studied. Non-denaturing elution conditions were determined (alkali medium containing 50%, v/v, ethylene glycol) and the method was applied to one-step isolation of enzyme from a crude yeast preparation.	No specific gene was perturbed in vivo
419514	<TITLE>Influence of ante- and peri-mortem factors on biochemical and physical characteristics of turkey breast muscle.</TITLE>The course of post-mortem breakdown of glycogen and ATP in turkey pectoralis major muscle was markedly influenced by several ante- and peri-mortem variables. Application of a proper stunning procedure was highly effective in preventing peri- and post-mortem muscle stress reactions. The physiological level of glycogen and ATP was not significantly affected by road transportation covering 260 km. Birds which rested for 24 hrs following transportation had lower glycogen and ATP levels at the moment of slaughter than non-rested birds. According to the changes in the rate and extent of post-mortem biochemical reactions, several meat characteristics such as water-holding capacity, colour, and tenderness were significantly changed. Furthermore, the results also indicate that turkey breast muscle is susceptible to a PSE-like condition as described in pork.	No specific gene was perturbed in vivo
475978	<TITLE>In vitro prediction of the pathogenicity of mineral dusts.</TITLE>Eight mineral dusts, of which 7 were fibrous, were tested in 3 in vitro systems. The dusts had previously been tested for their ability to produce mesotheliomata in rats. The in vivo and in vitro biological activities of these dusts are compared with the number and size of fibres they contain. It is concluded that all the in vitro systems would predict which dusts are pathogenic in vivo, and that both in vivo and in vitro biological activities are determined by the number of long, fine fibres.	No specific gene was perturbed in vivo
508206	<TITLE>A simple procedure for the assay of brain biogenic amines by selected-ion monitoring: its application to the elucidation of the mechanism of prolactin release induced by 3-iodo-L-tyrosine.</TITLE>A simple method for the assay of brain biogenic amines by selected-ion monitoring was applied to examination of the effects of 3-iodo-L-tyrosine on the hypothalamic-median eminence concentrations of dopamine, noradrenaline and serotonin in the rat. Thirty minutes after its administration iodotyrosine (50 mg/kg) caused a highly significant (P less than 0.0005) rise in serum prolactin and a highly significant (P less than 0.0025) fall in the concentration of dopamine in the hypothalamus and median eminence where the levels reached 50% of control levels. Less marked but significant falls were also observed in the hypothalamic (P less than 0.05) and median eminence (P less than 0.0025) concentrations of noradrenaline after iodotyrosine administration. Serotonin concentration was significantly reduced (P less than 0.025) in the median eminence but not in the hypothalamus after iodotyrosine administration. These findings suggest that iodotyrosine exerts its prolactin stimulating effect by blockage of dopamine synthesis rather than by receptor blockade.	No specific gene was perturbed in vivo
512937	<TITLE>The electrogenic potential in rat C nerve fibres: some effects of lithium and thallium.</TITLE>1. Subsequent to bathing a desheathed vagus nerve in a K-free medium Li (5-50 mM) generates a hyperpolarizing response in the same manner as does K except that Li is 23 times less potent than K. Preincubation with small concentrations of either Li or K inhibits a subsequent K response.2. The Li response is less phasic than the K response. In the presence of a cardiac glycoside Li has no effect whereas K depolarizes the preparation. Thus Li is presumed to generate a relatively pure ouabain-sensitive electrogenic response.3. If a Li response is always terminated with 50 mM-Li, but various concentrations are used during the first half, the total response has a constant area despite the wide range of activation during the first half. This implies that the electrogenic pump ratio is constant over this range of activation.4. Thallium (1 mM) also generates a ouabain-sensitive response, but even short exposures (5 min) produces a strong and lasting inhibition of subsequent potassium responses. On a slower time scale Tl also inhibits the electrogenic post-tetanic hyperpolarization. After exposure to Tl a test action potential shows that the afterpotential is also decreased.5. If action potentials are produced during an electrogenic response the hyperpolarizing afterpotential reverses polarity. It is supposed that this is due to a short-circuiting of the electrogenic potential during this time.	No specific gene was perturbed in vivo
540450	<TITLE>Intralymphocytic sodium in hypertensive patients: a significant correlation.</TITLE>1. Intralymphocytic sodium concentration was measured in 50 patients with essential stable hypertension, 44 patients with labile hypertension and 40 subjects with normal blood pressure. 2. Intralymphocytic sodium concentration in normotensive subjects was significantly lower than in the other two groups. 3. The concentration was significantly correlated with mean blood pressure in the group as a whole and in the groups with stable and with labile hypertension. No correlation was found in normal subjects.	No specific gene was perturbed in vivo
603230	<TITLE>ABO blood groups and cholera.</TITLE>The ABO blood group of 87 bacteriologically proven cases of cholera and 33 bacteriologically negative cholera-like diarrhoea cases was determined. When compared with the normal blood group distribution in the population of the Philippines of the same racial group to which the patients belonged, a relatively larger number of cases were found to occur in individuals of group O and a lesser number in those of group A. A plea is made for further studies on these lines to explain the host susceptibility in cholera and other acute enterotoxigenic diarrhoeas.	No specific gene was perturbed in vivo
